L1M1	4.49477e-6 cm2/g
L1M2	0.237805 cm2/g
L1M3	0.274145 cm2/g
L1M4	0.0079247 cm2/g
L1M5	0.011865 cm2/g
L1N1	1.93181e-6 cm2/g
L1N2	0.0601211 cm2/g
L1N3	0.0747882 cm2/g
L1N4	0.00118009 cm2/g
L1N5	0.00185845 cm2/g
L1O1	4.36727e-7 cm2/g
L1O2	0.0107617 cm2/g
L1O3	0.0129804 cm2/g
L2M1	0.0470568 cm2/g
L2M2	2.16929e-6 cm2/g
L2M3	0.00178106 cm2/g
L2M4	1.74099 cm2/g
L2M5	9.58944e-5 cm2/g
L2N1	0.011959 cm2/g
L2N2	8.26566e-7 cm2/g
L2N3	0.000483924 cm2/g
L2N4	0.343755 cm2/g
L2N5	2.11368e-5 cm2/g
L2N6	0.00124373 cm2/g
L2O1	0.00235404 cm2/g
L2O2	1.60194e-7 cm2/g
L2O3	8.38787e-5 cm2/g
L2O4	0.0323176 cm2/g
L2P1	0.000103124 cm2/g
L3M1	0.156518 cm2/g
L3M2	0.00174931 cm2/g
L3M3	0.00158359 cm2/g
L3M4	0.316948 cm2/g
L3M5	2.79429 cm2/g
L3N1	0.0382085 cm2/g
L3N2	0.000394748 cm2/g
L3N3	0.000397756 cm2/g
L3N4	0.0578888 cm2/g
L3N5	0.521817 cm2/g
L3N6	0.000383927 cm2/g
L3N7	0.00214983 cm2/g
L3O1	0.00768794 cm2/g
L3O2	6.905e-5 cm2/g
L3O3	6.81331e-5 cm2/g
L3P1	0.000327078 cm2/g
M1N1	2.62958e-9 cm2/g
M1N2	0.00333607 cm2/g
M1N3	0.00137433 cm2/g
M1N4	1.62958e-5 cm2/g
M1N5	1.4801e-5 cm2/g
M1N6	7.23081e-8 cm2/g
M1N7	7.1212e-8 cm2/g
M1O1	9.38637e-10 cm2/g
M1O2	0.0006606 cm2/g
M1O3	0.000283114 cm2/g
M2N1	0.0392313 cm2/g
M2N2	3.17606e-8 cm2/g
M2N3	0.000139855 cm2/g
M2N4	0.104238 cm2/g
M2N5	6.25813e-7 cm2/g
M2N6	0.00103181 cm2/g
M2N7	4.81136e-9 cm2/g
M2O1	0.00812174 cm2/g
M2O2	9.36127e-9 cm2/g
M2O3	2.89787e-5 cm2/g
M2P1	0.000770761 cm2/g
M3N1	0.0126138 cm2/g
M3N2	3.30548e-5 cm2/g
M3N3	1.39261e-5 cm2/g
M3N4	0.00307658 cm2/g
M3N5	0.0159288 cm2/g
M3N6	2.41887e-5 cm2/g
M3N7	0.000106957 cm2/g
M3O1	0.00254169 cm2/g
M3O2	6.3472e-6 cm2/g
M3O3	2.74696e-6 cm2/g
M3P2	0.000240082 cm2/g
M4N1	3.07715e-5 cm2/g
M4N2	0.0355423 cm2/g
M4N3	0.00193075 cm2/g
M4N4	5.09031e-5 cm2/g
M4N5	1.37628e-5 cm2/g
M4N6	0.250563 cm2/g
M4N7	3.19171e-7 cm2/g
M4O1	7.37528e-6 cm2/g
M4O2	0.00603327 cm2/g
M4O3	0.000318788 cm2/g
M4P1	7.2136e-7 cm2/g
M5N1	5.48593e-5 cm2/g
M5N2	8.90331e-8 cm2/g
M5N3	0.026338 cm2/g
M5N4	2.76651e-5 cm2/g
M5N5	6.96652e-5 cm2/g
M5N6	0.0233218 cm2/g
M5N7	0.341513 cm2/g
M5O1	1.30408e-5 cm2/g
M5O2	1.89117e-8 cm2/g
M5O3	0.00432662 cm2/g
M5P1	1.27259e-6 cm2/g
