KL1	66.3721 keV
KL2	66.9913 keV
KL3	68.8062 keV
KM1	77.3 keV
KM2	77.5771 keV
KM3	77.9819 keV
KM4	78.4338 keV
KM5	78.5192 keV
KN1	79.9661 keV
KN2	80.0812 keV
KN3	80.1795 keV
KN4	80.3729 keV
KN5	80.391 keV
KN6	80.6371 keV
KN7	80.6408 keV
KO1	80.6171 keV
KO2	80.6532 keV
KO3	80.6662 keV
KO4	80.7224 keV
KO5	80.7224 keV
L1L2	0.6192 keV
L1L3	2.4341 keV
L1M1	10.9279 keV
L1M2	11.205 keV
L1M3	11.6098 keV
L1M4	12.0617 keV
L1M5	12.1471 keV
L1N1	13.594 keV
L1N2	13.7091 keV
L1N3	13.8074 keV
L1N4	14.0008 keV
L1N5	14.0189 keV
L1N6	14.265 keV
L1N7	14.2687 keV
L1O1	14.245 keV
L1O2	14.2811 keV
L1O3	14.2941 keV
L1O4	14.3503 keV
L1O5	14.3503 keV
L2L3	1.8149 keV
L2M1	10.3087 keV
L2M2	10.5858 keV
L2M3	10.9906 keV
L2M4	11.4425 keV
L2M5	11.5279 keV
L2N1	12.9748 keV
L2N2	13.0899 keV
L2N3	13.1882 keV
L2N4	13.3816 keV
L2N5	13.3997 keV
L2N6	13.6458 keV
L2N7	13.6495 keV
L2O1	13.6258 keV
L2O2	13.6619 keV
L2O3	13.6749 keV
L2O4	13.7311 keV
L2O5	13.7311 keV
L3M1	8.4938 keV
L3M2	8.7709 keV
L3M3	9.1757 keV
L3M4	9.6276 keV
L3M5	9.713 keV
L3N1	11.1599 keV
L3N2	11.275 keV
L3N3	11.3733 keV
L3N4	11.5667 keV
L3N5	11.5848 keV
L3N6	11.8309 keV
L3N7	11.8346 keV
L3O1	11.8109 keV
L3O2	11.847 keV
L3O3	11.86 keV
L3O4	11.9162 keV
L3O5	11.9162 keV
M1M2	0.2771 keV
M1M3	0.6819 keV
M1M4	1.1338 keV
M1M5	1.2192 keV
M1N1	2.6661 keV
M1N2	2.7812 keV
M1N3	2.8795 keV
M1N4	3.0729 keV
M1N5	3.091 keV
M1N6	3.3371 keV
M1N7	3.3408 keV
M1O1	3.3171 keV
M1O2	3.3532 keV
M1O3	3.3662 keV
M1O4	3.4224 keV
M1O5	3.4224 keV
M2M3	0.4048 keV
M2M4	0.8567 keV
M2M5	0.9421 keV
M2N1	2.389 keV
M2N2	2.5041 keV
M2N3	2.6024 keV
M2N4	2.7958 keV
M2N5	2.8139 keV
M2N6	3.06 keV
M2N7	3.0637 keV
M2O1	3.04 keV
M2O2	3.0761 keV
M2O3	3.0891 keV
M2O4	3.1453 keV
M2O5	3.1453 keV
M3M4	0.4519 keV
M3M5	0.5373 keV
M3N1	1.9842 keV
M3N2	2.0993 keV
M3N3	2.1976 keV
M3N4	2.391 keV
M3N5	2.4091 keV
M3N6	2.6552 keV
M3N7	2.6589 keV
M3O1	2.6352 keV
M3O2	2.6713 keV
M3O3	2.6843 keV
M3O4	2.7405 keV
M3O5	2.7405 keV
M4M5	0.0854 keV
M4N1	1.5323 keV
M4N2	1.6474 keV
M4N3	1.7457 keV
M4N4	1.9391 keV
M4N5	1.9572 keV
M4N6	2.2033 keV
M4N7	2.207 keV
M4O1	2.1833 keV
M4O2	2.2194 keV
M4O3	2.2324 keV
M4O4	2.2886 keV
M4O5	2.2886 keV
M5N1	1.4469 keV
M5N2	1.562 keV
M5N3	1.6603 keV
M5N4	1.8537 keV
M5N5	1.8718 keV
M5N6	2.1179 keV
M5N7	2.1216 keV
M5O1	2.0979 keV
M5O2	2.134 keV
M5O3	2.147 keV
M5O4	2.2032 keV
M5O5	2.2032 keV
N1N2	0.1151 keV
N1N3	0.2134 keV
N1N4	0.4068 keV
N1N5	0.4249 keV
N1N6	0.671 keV
N1N7	0.6747 keV
N1O1	0.651 keV
N1O2	0.6871 keV
N1O3	0.7001 keV
N1O4	0.7563 keV
N1O5	0.7563 keV
N2N3	0.0983 keV
N2N4	0.2917 keV
N2N5	0.3098 keV
N2N6	0.5559 keV
N2N7	0.5596 keV
N2O1	0.5359 keV
N2O2	0.572 keV
N2O3	0.585 keV
N2O4	0.6412 keV
N2O5	0.6412 keV
N3N4	0.1934 keV
N3N5	0.2115 keV
N3N6	0.4576 keV
N3N7	0.4613 keV
N3O1	0.4376 keV
N3O2	0.4737 keV
N3O3	0.4867 keV
N3O4	0.5429 keV
N3O5	0.5429 keV
N4N5	0.0181 keV
N4N6	0.2642 keV
N4N7	0.2679 keV
N4O1	0.2442 keV
N4O2	0.2803 keV
N4O3	0.2933 keV
N4O4	0.3495 keV
N4O5	0.3495 keV
N5N6	0.2461 keV
N5N7	0.2498 keV
N5O1	0.2261 keV
N5O2	0.2622 keV
N5O3	0.2752 keV
N5O4	0.3314 keV
N5O5	0.3314 keV
N6N7	0.0037 keV
N6O2	0.0161 keV
N6O3	0.0291 keV
N6O4	0.0853 keV
N6O5	0.0853 keV
N7O2	0.0124 keV
N7O3	0.0254 keV
N7O4	0.0816 keV
N7O5	0.0816 keV
O1O2	0.0361 keV
O1O3	0.0491 keV
O1O4	0.1053 keV
O1O5	0.1053 keV
O2O3	0.013 keV
O2O4	0.0692 keV
O2O5	0.0692 keV
O3O4	0.0562 keV
O3O5	0.0562 keV

