        1000         836
        2000        1436
        3000        1832
        4000        2043
        5000        2165
        6000        2200
        7000        2183
        8000        2109
        9000        1964
       10000        1854
       11000        1766
       12000        1664
       13000        1536
       14000        1405
       15000        1259
       16000        1146
       17000        1032
       18000         965
       19000         873
       20000         780
       21000         720
       22000         625
       23000         547
       24000         478
       25000         434
       26000         362
       27000         318
       28000         290
       29000         257
       30000         219
